,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2010-07-16,2.115615374263932,-59.79441070240892,51.74594302103886,2.115615374263932,2.115615374263932,-4.010628185024443,-4.010628185024443,-4.010628185024443,-1.0535156581767193,-1.0535156581767193,-1.0535156581767193,-2.957112526847725,-2.957112526847725,-2.957112526847725,0.0,0.0,0.0,-1.8950128107605115
11,2010-07-19,2.14792342530776,-58.516731804209506,55.65531129726547,2.14792342530776,2.14792342530776,-3.7269739538442863,-3.7269739538442863,-3.7269739538442863,-0.21081261079793343,-0.21081261079793343,-0.21081261079793343,-3.5161613430463525,-3.5161613430463525,-3.5161613430463525,0.0,0.0,0.0,-1.5790505285365262
12,2010-07-20,2.158692775655703,-54.288014864702994,56.743524873889974,2.158692775655703,2.158692775655703,-4.09138423080668,-4.09138423080668,-4.09138423080668,-0.33744240435362644,-0.33744240435362644,-0.33744240435362644,-3.7539418264530537,-3.7539418264530537,-3.7539418264530537,0.0,0.0,0.0,-1.932691455150977
13,2010-07-21,2.169462126003646,-55.216824541179044,54.47369297901995,2.169462126003646,2.169462126003646,-4.186152842970485,-4.186152842970485,-4.186152842970485,-0.1796711260133424,-0.1796711260133424,-0.1796711260133424,-4.006481716957143,-4.006481716957143,-4.006481716957143,0.0,0.0,0.0,-2.0166907169668393
14,2010-07-22,2.180231476351589,-60.58308047100138,54.76564465001538,2.180231476351589,2.180231476351589,-4.9230960087563975,-4.9230960087563975,-4.9230960087563975,-0.656287781544196,-0.656287781544196,-0.656287781544196,-4.266808227212201,-4.266808227212201,-4.266808227212201,0.0,0.0,0.0,-2.7428645324048087
15,2010-07-23,2.1910008266995313,-58.158532042664,54.343031065589486,2.1910008266995313,2.1910008266995313,-5.581411052465721,-5.581411052465721,-5.581411052465721,-1.0535156581760026,-1.0535156581760026,-1.0535156581760026,-4.527895394289719,-4.527895394289719,-4.527895394289719,0.0,0.0,0.0,-3.3904102257661894
16,2010-07-26,2.2233088777433596,-60.82971117792468,51.85435071530658,2.2233088777433596,2.2233088777433596,-5.45863525359287,-5.45863525359287,-5.45863525359287,-0.21081261079922983,-0.21081261079922983,-0.21081261079922983,-5.24782264279364,-5.24782264279364,-5.24782264279364,0.0,0.0,0.0,-3.2353263758495108
17,2010-07-27,2.2340782280913025,-58.07562919891077,58.184356935171095,2.2340782280913025,2.2340782280913025,-5.783273485601677,-5.783273485601677,-5.783273485601677,-0.33744240435434525,-0.33744240435434525,-0.33744240435434525,-5.4458310812473325,-5.4458310812473325,-5.4458310812473325,0.0,0.0,0.0,-3.549195257510375
18,2010-07-28,2.2448475784392454,-64.9487900443401,51.311875189026615,2.2448475784392454,2.2448475784392454,-5.793430660401644,-5.793430660401644,-5.793430660401644,-0.17967112601377014,-0.17967112601377014,-0.17967112601377014,-5.613759534387874,-5.613759534387874,-5.613759534387874,0.0,0.0,0.0,-3.548583081962399
19,2010-07-29,2.2556169287871883,-59.57095498767164,54.334704342271806,2.2556169287871883,2.2556169287871883,-6.403461510874591,-6.403461510874591,-6.403461510874591,-0.6562877815452441,-0.6562877815452441,-0.6562877815452441,-5.747173729329346,-5.747173729329346,-5.747173729329346,0.0,0.0,0.0,-4.147844582087402
20,2010-07-30,2.266386279135131,-58.287068449999495,54.13534596247042,2.266386279135131,2.266386279135131,-6.8959539470928135,-6.8959539470928135,-6.8959539470928135,-1.0535156581776262,-1.0535156581776262,-1.0535156581776262,-5.8424382889151865,-5.8424382889151865,-5.8424382889151865,0.0,0.0,0.0,-4.629567667957683
21,2010-08-02,2.298694330178959,-62.78441440743605,52.46052889283399,2.298694330178959,2.298694330178959,-6.086817819589123,-6.086817819589123,-6.086817819589123,-0.2108126108005264,-0.2108126108005264,-0.2108126108005264,-5.876005208788596,-5.876005208788596,-5.876005208788596,0.0,0.0,0.0,-3.7881234894101636
22,2010-08-03,2.309463680526902,-60.084509507008164,50.314372342801654,2.309463680526902,2.309463680526902,-6.137274603328664,-6.137274603328664,-6.137274603328664,-0.3374424043550641,-0.3374424043550641,-0.3374424043550641,-5.799832198973601,-5.799832198973601,-5.799832198973601,0.0,0.0,0.0,-3.827810922801762
23,2010-08-04,2.3202330308748444,-57.78032987162883,55.97024172105597,2.3202330308748444,2.3202330308748444,-5.860226740336606,-5.860226740336606,-5.860226740336606,-0.17967112601419788,-0.17967112601419788,-0.17967112601419788,-5.680555614322408,-5.680555614322408,-5.680555614322408,0.0,0.0,0.0,-3.5399937094617617
24,2010-08-05,2.3310023812227874,-59.183264286437854,60.79940287849039,2.3310023812227874,2.3310023812227874,-6.176071361772888,-6.176071361772888,-6.176071361772888,-0.6562877815434591,-0.6562877815434591,-0.6562877815434591,-5.519783580229429,-5.519783580229429,-5.519783580229429,0.0,0.0,0.0,-3.845068980550101
25,2010-08-06,2.3417717315707303,-59.70148789885123,58.49233451426553,2.3417717315707303,2.3417717315707303,-6.373399993105898,-6.373399993105898,-6.373399993105898,-1.0535156581765843,-1.0535156581765843,-1.0535156581765843,-5.319884334929315,-5.319884334929315,-5.319884334929315,0.0,0.0,0.0,-4.031628261535168
26,2010-08-09,2.3740797826145585,-56.433017502303095,55.516500149417794,2.3740797826145585,2.3740797826145585,-4.729585249488301,-4.729585249488301,-4.729585249488301,-0.21081261080014846,-0.21081261080014846,-0.21081261080014846,-4.518772638688153,-4.518772638688153,-4.518772638688153,0.0,0.0,0.0,-2.3555054668737427
